# LG_lower and the columns listed in derived_from_LG are FLOAT ESTIMATES, not certified bounds.
# H2plus: validated against certified runs C1/C2 to ~1e-6 -- usable for cell selection.
# H3plus: UNRELIABLE at the 1e-4 level (certified/float ratio 0.9845 at D3a but 2.39 at D1);
#   at d_paper=2.8, L=12, N=64 the float LG_lower -0.93640124532559 exceeds a four-way-verified
#   variational upper bound -0.936444734 by 4.3489e-05, so it is not a bound. DO NOT QUOTE as a width.
# Ritz columns (mu1N_Ritz, lambda1D_Ritz, trunc_gap_discrete, truncation_term, sigma_confinement)
#   do not pass through the Lehmann-Goerisch chain and are unaffected; the L*(N) curve SHAPE stands.
system,d_paper,box,L,Ly,N,Nprime,D,D_aux,npanel,t_star,mu1N_Ritz,eee2_Ritz,lambda1D_Ritz,mu2N_oee_Ritz,eoe_Ritz,rho_used,LG_lower,LG_lower_ideal_rho,enclosure_width,truncation_term,LG_discretisation_term,trunc_gap_discrete,lambda_ref,reference_status,sigma_confinement,hypothesis_holds,max_a_over_L,clearance,moment_tail_bound,tier,status,reason,wall_seconds,LG_lower_status,derived_from_LG
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,48,64.0,15625,35937.0,96,1.0,-0.5504842148767386,-0.1814132711229581,-0.5505084906597904,-0.3327902841426332,-0.2145841490459418,-0.3390160265426333,-0.5519173747572585,-0.5518895882747235,0.0014088840974683,0.0008085093402095,0.0006003747572588,-2.42757830517526e-05,-0.551317,exact_spheroidal,-0.1240347345892084,True,0.1,18.0,8.270326320886854e-113,lg_eoe,ok,,88.16920614242554,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,56,,24389,,96,1.0,-0.5506950175925,-0.1814398706105999,-0.5507321543491,,,,,,,,,-3.713675653239e-05,-0.551317,exact_spheroidal,-0.1240347345892,True,0.1,18.0,8.270326320887002e-113,dense,ok,,72.81308794022,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,64,80.0,35937,68921.0,96,1.0,-0.5509505956902487,-0.1814736703919467,-0.5509672617594434,-0.3333398828369845,,-0.3395656252369845,-0.5514436009223775,-0.5514340210645026,0.0004763391629341,0.0003497382405565,0.0001266009223775,-1.6666069194704036e-05,-0.551317,exact_spheroidal,-0.1240347345892084,True,0.1,18.0,8.270326320886854e-113,lg,ok,,282.442978143692,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,24,,2197,,115,1.0,-0.5416683716572,-0.1790905608262,-0.542898959497,,,,,,,,,-0.001230587839818,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,1.119776010513,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,32,,4913,,115,1.0,-0.5475652886727999,-0.18004909756,-0.5478029653246,,,,,,,,,-0.0002376766517758,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,3.711491107941,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,40,,9261,,115,1.0,-0.548686656611,-0.1802243193381999,-0.5488110676534,,,,,,,,,-0.0001244110423565,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,9.213053941727,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,48,,15625,,115,1.0,-0.5498009883155999,-0.1803681611605,-0.5499248089184,,,,,,,,,-0.0001238206028058,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,26.32202100754,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,56,,24389,,115,1.0,-0.5504345730666999,-0.1804613303456,-0.5504643400044,,,,,,,,,-2.976693765111e-05,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,76.97892093657998,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-24,24]x[-19.2,19.2]^2",24,19.2,64,,35937,,115,1.0,-0.5506032662094,-0.1804848553316,-0.5506275754253999,,,,,,,,,-2.430921596108e-05,-0.551317,exact_spheroidal,-0.1036060842595,True,0.0833333333333299,22.00000000000008,8.306363988132998e-162,dense,ok,,129.9093019962,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-28,28]x[-22.4,22.4]^2",28,22.4,24,,2197,,134,1.0,-0.5362895891687,-0.1781918569619999,-0.5376849914642,,,,,,,,,-0.001395402295479,-0.551317,exact_spheroidal,-0.08893193797451,True,0.0714285714285699,26.00000000000004,1.0944167657989999e-219,dense,ok,,1.114537000656,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-28,28]x[-22.4,22.4]^2",28,22.4,32,,4913,,134,1.0,-0.5451423218687,-0.1794975531232,-0.5457870353227,,,,,,,,,-0.000644713454051,-0.551317,exact_spheroidal,-0.08893193797451,True,0.0714285714285699,26.00000000000004,1.0944167657989999e-219,dense,ok,,3.668586015701,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-28,28]x[-22.4,22.4]^2",28,22.4,40,,9261,,134,1.0,-0.5480063266024,-0.1799939831767999,-0.5481285601159999,,,,,,,,,-0.0001222335136508,-0.551317,exact_spheroidal,-0.08893193797451,True,0.0714285714285699,26.00000000000004,1.0944167657989999e-219,dense,ok,,10.35451102257,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
